age,position_cat,page_views,fpl_value,fpl_points,region,big_club,fpl_sel,market_value
28,1,4329,12,264,3,1,17.1,65
28,1,4395,9.5,167,2,1,5.6,50
35,4,1529,5.5,134,2,1,5.9,7
28,1,2393,7.5,122,1,1,1.5,20
31,3,912,6,121,2,1,0.7,22
22,3,1675,6,119,2,1,13.7,30
30,1,2230,8.5,116,2,1,2.5,22
31,3,555,5.5,115,2,1,4.7,13
25,3,1877,5.5,90,2,1,4,30
21,1,1812,5.5,89,4,1,1,10
24,2,1815,5.5,85,2,1,2,35
23,2,1519,6,83,1,1,1.8,22
25,2,1759,5.5,61,1,1,0,18
26,2,1040,7,56,1,1,5.1,35
26,2,549,4.5,52,2,1,1.7,15
26,3,552,5,45,3,1,0.1,13
27,3,489,5,45,1,1,0.5,10
32,2,943,7,38,2,1,0.1,12
26,1,1521,7.5,37,1,1,0.5,15
21,3,666,5,32,1,1,1.7,7
25,2,683,4.5,26,4,1,0.8,10
28,1,2055,7.5,20,2,1,0.1,15
24,4,372,4,8,3,1,4.2,1
28,4,544,5,2,3,1,0.2,7
25,3,561,4.5,2,1,1,0.4,5
32,3,702,5,1,2,1,1,6
24,3,618,6,0,2,1,6.9,15
26,1,1183,10.5,0,2,1,26.5,40
25,1,997,7.5,178,2,0,10.4,8
34,1,3213,8,166,1,0,15,5
30,3,185,5,134,1,0,19.8,3
37,4,436,4.5,120,2,0,6.9,1
26,3,184,5,112,1,0,2,5
27,1,315,6,107,1,0,0.6,4.5
26,3,200,5,104,1,0,0.9,5
23,1,516,5.5,100,2,0,1.6,5
32,3,167,4.5,89,1,0,4,2.5
24,1,528,6,88,4,0,0.7,10
27,2,666,5,84,2,0,0.9,2.5
30,1,140,5,64,1,0,0.1,2
25,1,337,6,63,1,0,0.2,10
22,3,1274,5,55,2,0,11.5,8
27,2,184,5,49,1,0,0.1,3
30,2,154,4.5,44,1,0,1.1,2
21,1,504,5,36,1,0,0.4,8
20,2,243,4.5,17,1,0,0.8,6
21,1,131,5,14,2,0,0.1,4
32,4,126,4,8,4,0,1.5,1
29,1,287,5,8,4,0,0.1,7
24,3,422,4.5,4,1,0,0.4,5
23,3,297,4,4,4,0,3.3,2
30,4,697,4.5,2,2,0,9.3,8
32,4,103,4,0,2,0,2.1,0.25
25,4,344,4.5,0,4,0,1.5,3.5
25,3,140,4.5,0,1,0,4.1,5
25,3,243,4.5,0,2,0,0.6,5
31,3,88,4,0,2,0,8,1.5
36,1,215,4.5,0,3,0,0.4,0.5
29,3,97,4.5,0,4,0,0.2,1.5
33,3,132,4,0,1,0,3.2,1
24,3,52,4,0,1,0,0.8,0.75
30,3,23,4.5,0,2,0,0.2,2
25,1,726,6,0,2,0,4.8,8
27,2,122,4.5,0,1,0,0.9,5
29,2,167,4.5,0,4,0,0.3,1.25
34,2,461,4.5,0,1,0,0.6,1
23,2,139,5,0,1,0,0.2,0.5
25,1,87,5,0,2,0,0.1,1.5
26,2,134,4.5,0,2,0,0.2,2.5
27,1,114,5,0,2,0,0.1,1.75
26,2,22,5.5,0,2,0,0.3,4
33,1,496,6,0,1,0,1.3,3.5
30,1,253,5,0,4,0,0.4,2.5
28,1,204,5,0,1,0,0.2,3
31,4,717,5,149,1,0,13.5,4
27,1,290,6,121,2,0,2.9,4.5
26,1,687,6.5,108,1,0,1.7,10
27,3,166,4.5,94,1,0,13.7,6
31,3,152,4.5,91,2,0,2.5,1.5
28,3,121,4.5,90,1,0,1.2,2.5
27,1,287,5.5,81,1,0,1.2,2.5
25,2,352,5.5,76,2,0,0.2,6
28,2,304,5,69,3,0,0.1,3
29,2,336,5.5,54,2,0,0.2,6
33,2,171,4.5,51,1,0,0,1
28,2,204,4.5,50,1,0,0.5,5
26,1,180,5,47,2,0,0.1,2.5
25,2,614,5.5,39,2,0,0.4,10
24,3,116,4.5,23,1,0,0.1,2
27,2,161,4.5,13,1,0,0.1,4
26,3,68,4,3,2,0,1.7,0.5
35,2,255,4.5,0,1,0,0.4,0.25
26,1,4220,10.5,224,2,1,2.3,75
28,1,4454,10,196,2,1,3,50
31,3,1420,6.5,178,1,1,12,16
26,3,3069,7,177,2,1,12.4,25
27,3,869,6.5,170,2,1,12.3,30
29,1,1500,8,162,2,1,7.8,28
25,4,1260,5.5,141,2,1,18.5,40
30,3,2745,6,132,3,1,20.3,30
30,2,2378,7,121,2,1,7.5,35
28,1,1165,7,114,3,1,9,32
26,2,2537,6.5,105,4,1,0.2,18
28,2,892,5,105,2,1,5,35
26,2,4042,5,83,2,1,13.8,50
35,4,542,5,64,3,1,0.2,1.5
23,1,1162,8.5,48,2,1,1.6,25
22,3,723,5.5,15,2,1,0.8,15
21,3,566,5,3,3,1,0.1,7
34,1,467,5,0,2,1,0.1,0.05
24,3,454,6,0,2,1,6.4,25
22,2,1011,5,0,2,1,1.6,16
24,1,1709,7,149,4,0,20.9,18
26,1,1661,8,136,2,0,10.5,28
26,1,693,6,116,1,0,2.7,12
26,3,524,5.5,98,2,0,4.2,9
29,2,216,4.5,93,2,0,10.9,7
30,4,242,4.5,92,2,0,2.1,4
31,1,427,5,92,1,0,1.2,5.5
31,2,456,5.5,91,2,0,1.4,15
27,3,154,5,86,1,0,0.6,5
28,3,208,4.5,75,1,0,2,7
30,3,217,5,61,1,0,1.1,5
36,3,195,4.5,51,2,0,0.6,1
24,3,385,5,47,4,0,0.3,8
27,3,210,4.5,46,1,0,0.3,3
26,2,407,5,42,2,0,0.2,10
29,1,327,4.5,24,4,0,0.1,1.5
24,1,248,5.5,18,1,0,0,6
29,1,226,5,7,4,0,0.1,6
27,3,186,4.5,6,4,0,0,6
21,2,685,4.5,6,1,0,16.4,5
38,4,188,4,0,3,0,2,0.25
23,1,1413,7.5,144,1,0,0.7,25
32,3,491,6,135,1,0,10,12
28,3,843,6.5,133,2,0,0.4,17
32,3,599,5.5,127,2,0,4.7,8
29,1,417,6.5,119,2,0,3.2,13
24,3,1362,5.5,113,1,0,13.1,18
34,3,566,5,104,1,0,6.3,2
23,4,719,5,102,1,0,14.6,15
27,4,304,4.5,89,2,0,0.4,5
27,2,705,5,80,4,0,1.3,18
31,1,7664,7.5,76,1,0,20.9,15
26,3,460,5,69,3,0,0.1,12
34,4,623,4.5,68,2,0,0.3,2
36,2,1331,4.5,68,1,0,1.7,1.5
19,2,1354,5.5,63,1,0,1,8
20,3,344,4.5,54,1,0,2.9,5
28,1,896,6.5,45,4,0,0.2,20
27,2,1272,5,37,2,0,0.9,22
27,3,232,4.5,31,2,0,0.4,2
26,2,306,5,23,2,0,0.1,15
30,1,504,5.5,22,1,0,0.2,5
20,1,343,5,17,1,0,0.3,3.5
19,1,1387,5.5,16,1,0,0.3,5
22,3,219,4,9,1,0,1.7,0.5
20,3,53,4.5,1,1,0,0.2,0.25
24,2,238,4.5,0,2,0,0.2,5
24,1,428,7.5,0,2,0,3.6,18
22,1,373,7.5,0,2,0,2.1,10
21,4,36,4,0,1,0,2.4,0.25
28,4,56,4.5,0,2,0,0.5,1.5
27,3,73,4.5,0,2,0,0.9,2
28,3,84,4.5,0,2,0,0.7,1.5
25,3,65,5,0,1,0,1.1,2
26,3,116,4.5,0,2,0,0.2,1.5
30,3,67,4,0,1,0,1.4,0.5
21,3,83,4,0,2,0,1.1,0.5
35,3,70,4,0,1,0,1.4,0.5
27,3,107,4.5,0,2,0,0.2,2.5
26,3,81,4.5,0,1,0,0.1,0.75
26,2,588,5.5,0,4,0,2.5,5
26,1,174,5,0,2,0,0.3,2
28,2,75,4.5,0,1,0,0.3,1
21,2,157,4.5,0,2,0,0.1,0.5
24,1,63,4.5,0,1,0,0.1,0.25
25,2,81,4.5,0,1,0,0.1,0.25
35,2,161,4.5,0,1,0,0.1,0.25
24,1,85,4.5,0,1,0,0.1,0.5
26,1,85,4.5,0,2,0,0.1,0.5
25,1,231,6,0,4,0,0.6,3.5
25,1,512,6,0,1,0,2.6,7
20,1,220,5.5,0,1,0,0.2,0.75
26,3,3,5,0,3,0,0.1,0.65
27,1,247,5,0,3,0,0.6,5
26,1,126,4.5,0,2,0,1.6,1
28,1,212,5.5,0,2,0,0.3,3
30,1,2988,8.5,161,1,0,1.5,15
26,1,1753,8.5,120,4,0,1.7,30
30,4,1601,5,109,2,0,2.4,10
31,3,417,5,104,2,0,3.5,6
27,2,347,5.5,95,1,0,1.1,6
32,3,748,5,88,2,0,0.6,5
30,3,428,4.5,85,1,0,5.5,5
29,1,1581,7,83,4,0,0.7,25
24,3,488,5,71,1,0,1.5,8
27,2,714,5,69,1,0,0.2,9
33,3,649,4.5,63,3,0,3.3,3
31,1,607,5.5,63,4,0,1.2,7
20,2,821,5,59,4,0,0.5,14
21,1,593,5.5,58,1,0,1.1,9
22,2,356,4.5,53,4,0,0.3,5
28,2,327,4.5,41,2,0,0.7,3
24,1,742,6.5,39,4,0,1.5,17
30,3,305,4.5,27,4,0,0.1,1
30,1,472,5,24,2,0,0.2,6
20,3,288,4.5,19,1,0,0.8,2.5
25,2,325,4.5,6,2,0,0.1,10
29,4,132,4.5,0,1,0,0.1,0.5
26,3,171,4.5,0,4,0,0,1.5
29,2,253,6,0,2,0,0.8,9
25,1,2196,8.5,180,3,1,20.3,38
25,1,2958,9,171,3,1,30.8,45
25,1,3219,9.5,156,4,1,5.3,40
26,2,1280,7,149,2,1,7.1,28
31,2,1824,6.5,139,1,1,10.4,12
29,1,1808,7.5,139,1,1,6.4,25
26,3,602,5.5,129,1,1,4.5,21
29,4,721,5,110,2,1,1.6,12
28,3,708,5.5,106,2,1,1.3,17
23,2,1253,5,104,2,1,6.6,15
25,3,1313,5.5,97,2,1,2.3,25
22,1,1092,7.5,96,2,1,0.4,12
27,2,1236,5.5,73,1,1,1.8,28
27,1,2042,8,54,1,1,4.3,20
30,2,998,4.5,47,3,1,0.3,7
31,3,875,4.5,43,2,1,0.4,3.5
27,3,934,5,35,2,1,0.1,15
24,4,1255,5,32,2,1,0.2,8
18,3,327,4.5,15,2,1,0.3,1.5
25,3,397,4.5,8,2,1,0.3,10
17,1,1241,4.5,5,1,1,0.1,1.5
21,2,615,4.5,4,2,1,0.2,5
20,3,460,4.5,0,1,1,0.4,4
20,1,383,5,0,1,1,0.1,2
25,1,1117,9,0,4,1,12.4,35
24,1,748,5.5,0,1,1,0.1,8
19,1,671,5,0,1,1,2,2
26,1,2252,10,199,2,1,17.5,65
29,1,4046,11.5,175,3,1,9.7,65
22,1,2074,8,149,1,1,3.8,45
27,3,1008,6.5,142,1,1,18.5,30
31,1,1434,8,130,2,1,3.3,30
21,1,2302,8.5,105,2,1,8.8,35
29,3,621,5.5,100,3,1,3.3,30
31,3,633,5.5,95,2,1,1.1,10
34,2,2318,6.5,86,4,1,2.5,8
32,2,595,5,78,3,1,0.8,18
34,4,436,5,73,3,1,1.2,8
20,1,4254,10.5,67,3,1,15.2,30
23,3,1078,5.5,59,1,1,2.3,35
31,3,935,6,57,2,1,6.6,22
20,1,1662,7,52,4,1,1.5,15
26,2,1586,5.5,41,2,1,1,30
32,2,338,4.5,18,3,1,0.4,18
27,2,520,4.5,13,1,1,0.4,8
23,4,297,5.5,0,3,1,4.5,22
22,1,1098,8,0,2,1,4.6,40
24,1,3727,11.5,221,2,1,45,50
26,4,2126,5.5,136,2,1,26.1,40
31,3,1561,6.5,120,3,1,6.2,10
24,2,7435,8,115,2,1,19.5,75
23,3,1588,6,105,4,1,10.2,30
29,1,2280,7,102,2,1,3.5,30
27,3,867,5.5,98,2,1,1.2,22
27,2,1603,5.5,97,2,1,7.7,30
21,1,2430,8,95,2,1,0.6,30
27,3,1063,5.5,77,3,1,0.1,18
19,1,3668,7.5,76,1,1,4.8,18
28,1,3312,8,73,4,1,4.5,35
27,3,1640,5.5,70,2,1,0.3,12
24,1,1939,6,60,1,1,0.7,12
25,3,808,5,55,1,1,0.4,14
27,3,834,5.5,52,1,1,1.3,18
29,2,1498,5,48,2,1,0.2,12
22,3,947,5,45,1,1,0.4,20
35,2,1789,4.5,42,1,1,1.8,1.5
32,2,936,5,26,1,1,0,5
30,4,849,5,23,3,1,0.2,6
19,3,279,4,14,1,1,1.7,1
19,2,860,4.5,9,2,1,0.2,2.5
21,4,395,4,6,2,1,1,0.1
23,3,950,5.5,0,2,1,17,22
31,4,134,4,0,2,0,13.5,1
26,4,235,4.5,0,1,0,1.1,4.5
24,3,764,4.5,0,3,0,5.2,5
27,3,273,4.5,0,2,0,0.9,5
27,3,400,4.5,0,1,0,3.6,5
25,3,177,4.5,0,2,0,1,3.5
25,3,265,4,0,2,0,2.5,4.5
32,3,186,4,0,2,0,2.3,2.5
26,3,65,4.5,0,2,0,1,5
24,3,114,4,0,2,0,0.5,1.5
27,2,566,6,0,2,0,4.2,9
25,2,747,5.5,0,1,0,2.5,11
30,2,339,5,0,4,0,0.5,6
27,2,181,4.5,0,1,0,1.1,5
25,1,641,5,0,4,0,2.1,5
28,1,341,5,0,2,0,0.1,5.5
21,1,170,4.5,0,1,0,0.1,0.75
26,1,1351,6.5,0,1,0,11.4,10
23,1,368,5.5,0,2,0,1.6,8
22,1,781,5,0,2,0,2.5,10
34,1,541,4.5,0,2,0,2.8,1.5
29,4,548,5,134,1,0,7.3,15
23,1,706,6.5,126,1,0,11.3,15
27,3,578,5.5,123,1,0,11.2,20
28,1,458,6.5,108,2,0,4.9,17
25,3,338,5,102,2,0,16.4,15
22,2,416,5.5,92,1,0,2.2,15
25,2,476,4.5,80,2,0,4.2,10
28,3,317,5,78,4,0,1.1,5
32,2,310,5,77,2,0,0.2,6
26,3,1102,5.5,75,2,0,4,30
28,1,874,6.5,62,1,0,2.1,13
23,3,249,5,60,1,0,0.4,3.5
30,1,703,6,57,2,0,0.3,9
23,1,590,6,40,4,0,0.3,15
26,2,201,4.5,38,2,0,0.4,10
21,2,368,4.5,38,2,0,0.4,8
25,1,2012,7,38,2,0,5.2,15
22,2,221,4.5,23,1,0,0.1,0.75
21,3,110,4.5,12,1,0,0.2,3
20,1,126,4.5,12,1,0,0.1,0.5
28,2,136,4.5,5,2,0,0.1,3.5
21,3,53,4.5,0,1,0,0.1,0.25
21,3,9,4.5,0,2,0,0.4,0.5
27,2,523,5.5,118,2,0,6,15
28,1,579,7,117,1,0,0.7,15
34,4,480,4.5,106,1,0,1.2,1
28,3,134,5,103,2,0,1.3,7
30,1,522,5,103,2,0,1,3
29,3,281,5,94,2,0,1,11
25,1,1000,6,80,2,0,3.2,15
36,1,2656,5,79,1,0,2.9,1.5
33,2,182,4.5,62,2,0,0.4,2.5
31,2,561,5,59,2,0,0.1,3.5
32,3,260,4.5,58,4,0,0.5,3
32,3,512,4.5,56,1,0,0.8,5
29,1,310,5.5,51,4,0,0.4,7
20,1,461,5,36,4,0,1.1,5
25,3,172,4.5,34,2,0,0.2,3
26,1,1325,5.5,30,2,0,0.2,5
32,3,365,4.5,27,2,0,0,1.5
23,1,841,6,26,1,0,0.8,15
24,2,238,4.5,24,2,0,0.2,12
24,4,402,5,20,1,0,2.8,15
31,2,461,5,15,2,0,0,3
18,3,120,4.5,9,1,0,0.1,1
27,1,861,8.5,181,2,0,8.7,25
32,1,1423,7.5,146,2,0,0.7,6
32,4,285,4.5,116,2,0,6.2,9
27,2,411,5.5,95,2,0,0.6,8
23,3,509,5,94,1,0,1.8,6
28,3,170,4.5,82,1,0,2,5
32,1,264,5.5,74,1,0,0.1,2.5
28,3,116,4.5,63,3,0,0.4,9
29,3,458,5,52,2,0,0.3,5
25,2,432,4.5,52,1,0,4.3,6
28,2,478,5,41,4,0,0,7
25,1,676,5,39,4,0,2,7.5
24,1,437,5,34,4,0,0.1,3
34,2,218,4.5,32,1,0,0.1,1
22,3,168,4.5,29,2,0,0.2,0.75
34,3,137,4,26,2,0,18.8,1
26,1,448,5,25,2,0,0.1,5
23,2,104,4.5,19,2,0,0.1,0.5
27,1,187,5,18,3,0,0.1,4.5
24,3,154,4.5,16,2,0,0.1,2
29,1,313,4.5,12,1,0,0.1,3.5
21,1,149,4.5,5,2,0,0.7,0.25
28,4,82,4,3,2,0,1.7,1.5
28,2,110,4.5,0,2,0,0.9,12
19,1,1227,5.5,0,1,0,3.3,8
21,2,4626,9.5,225,1,1,38.6,45
23,1,4161,12.5,224,1,1,35.1,60
25,1,1130,9.5,218,2,1,12,40
25,1,2185,8,174,4,1,1.6,30
30,4,847,5.5,143,2,1,12.6,24
30,3,511,6,126,2,1,9,28
28,3,756,6,120,2,1,13.3,35
26,2,1002,5,103,4,1,3.1,25
23,2,1239,5,93,1,1,3.5,25
24,3,396,5.5,90,2,1,1.8,12
27,3,848,6.5,84,1,1,0.6,28
30,2,1161,5,76,2,1,1.8,18
23,1,1135,7.5,55,2,1,0.1,13
26,3,525,5.5,51,1,1,17.3,10
27,2,1162,5.5,43,2,1,0.3,20
21,2,806,5,30,1,1,0,4
25,1,672,6.5,28,3,1,0.1,25
33,4,252,5,17,2,1,0.1,4
22,1,510,5.5,8,2,1,0.1,7
24,3,355,4.5,2,2,1,0.3,7
29,2,412,5.5,131,2,0,8,9
29,1,1141,6.5,130,1,0,3.4,11
36,4,439,4.5,113,3,0,2.2,1
33,3,345,5,87,2,0,0.6,2
32,3,131,4.5,71,3,0,0.6,3.5
30,3,169,4.5,67,2,0,0.8,4
30,1,295,5,65,4,0,0.1,4.5
31,3,263,4.5,57,2,0,0.1,2.5
27,2,703,5,55,1,0,0.2,8
27,3,242,5,50,2,0,0.3,7
32,2,237,4.5,48,2,0,0.4,2.5
26,1,398,6,43,3,0,0.1,15
27,1,708,5.5,43,2,0,0.2,6
24,2,124,5,38,2,0,0,6
26,3,177,4.5,35,2,0,0.2,5.5
28,3,128,4.5,31,2,0,0,4
21,1,474,5.5,28,4,0,0.1,4
30,3,201,4,15,3,0,5.4,1
22,2,977,4.5,12,1,0,2.3,5
30,1,473,5.5,8,3,0,0,2
30,4,268,4.5,2,2,0,0.2,3
26,3,74,4.5,0,2,0,0.3,4
25,1,164,5,0,2,0,0.1,5.5
22,2,258,5,0,1,0,0.6,8
37,3,458,5,131,2,0,11.8,1
27,1,502,6.5,118,3,0,2,15
26,1,454,6,115,2,0,5.6,9
34,4,484,4.5,113,1,0,20.7,4
27,1,570,6,110,2,0,2.4,15
27,3,215,5,102,1,0,6,6
32,2,242,5.5,99,2,0,0.8,4
31,2,238,5.5,84,2,0,0,5
29,3,375,5,79,2,0,1.6,7
27,2,564,5,77,1,0,0.2,7
29,3,236,5,74,4,0,0.3,4.5
27,1,472,6,73,1,0,2.9,10
30,2,165,4.5,54,3,0,0.4,4
28,1,454,5,52,2,0,0.2,3
28,1,766,5,52,2,0,0.7,2.5
18,1,169,4.5,12,1,0,0.2,1.5
19,2,15,4.5,9,1,0,0.1,0.25
34,4,100,4,0,2,0,5.3,1.5
26,3,82,4.5,0,4,0,1.3,1
29,1,1210,6,133,2,0,6.5,8
24,1,493,7,133,3,0,7.2,15
27,1,1142,7.5,132,1,0,0.5,18
29,3,338,5,102,4,0,0.4,10
33,3,867,5,98,2,0,2.1,7
27,1,845,7,89,4,0,3.4,18
27,2,284,5,79,4,0,0.1,12
30,2,425,5.5,71,1,0,0.1,7
30,4,459,4.5,69,2,0,0.4,2.5
33,3,187,4.5,69,2,0,0.9,2
28,1,1212,6,69,1,0,0.4,10
30,4,266,4.5,64,2,0,0.8,8
27,3,380,5,60,1,0,1.3,12
25,2,286,4.5,55,2,0,0.3,9
27,1,394,5.5,55,4,0,0.2,12
29,3,247,4.5,45,2,0,1.1,9
32,3,698,5,45,3,0,2.7,7
21,2,288,4.5,38,2,0,0.4,5
23,3,199,4.5,34,4,0,0.2,7
23,3,198,4.5,29,1,0,0.3,4.5
21,1,412,4.5,16,1,0,5.9,1
27,1,214,5.5,12,4,0,0.1,10
